编号,名称,分类,品牌,适用年龄,库位,货架,数量,单价,入库日期,备注
T001,乐高积木基础装,积木益智,LEGO,3-6岁,A01-01,A01-01-S1,10,299.00,2026-01-15,小班常用
T002,毛绒小熊公仔,毛绒玩具,迪士尼,2-5岁,A01-01,A01-01-S2,15,89.00,2026-02-20,
T003,彩色蜡笔套装,美术手工,得力,3-8岁,A01-02,A01-02-S1,20,45.00,2026-03-10,中班教学
T004,拼图100片世界地图,拼图益智,木玩世家,5-10岁,A01-02,A01-02-S2,8,128.00,2025-12-01,大班教具
T005,遥控小汽车,电动玩具,奥迪双钻,4-8岁,A02-01,A02-01-S1,6,199.00,2026-04-05,需定期充电
T006,过家家厨房套装,角色扮演,费雪,3-6岁,A02-01,A02-01-S2,5,159.00,2026-01-20,
T007,木质积木50件套,积木益智,木玩世家,2-5岁,A02-02,A02-02-S1,12,99.00,2025-11-15,
T008,故事绘本30册,图书绘本,乐乐趣,3-7岁,A02-02,A02-02-S2,30,15.00,2026-02-28,按套借阅
T009,沙滩玩具套装,户外玩具,Hape,2-6岁,A03-01,A03-01-S1,10,68.00,2026-05-01,夏季热租
T010,儿童篮球架,体育玩具,斯伯丁,4-10岁,A03-01,A03-01-S2,3,259.00,2025-10-20,室外使用
T011,芭比娃娃礼盒,娃娃玩具,芭比,4-8岁,A03-02,A03-02-S1,6,189.00,2026-03-15,女孩款
T012,变形金刚模型,模型玩具,孩之宝,6-12岁,A03-02,A03-02-S2,4,329.00,2026-01-08,零件多注意
T013,磁性画板,美术手工,澳贝,2-5岁,A01-03,A01-03-S1,8,79.00,2026-02-10,
T014,数字认知卡片,早教启蒙,巧虎,2-4岁,A01-03,A01-03-S2,25,12.00,2025-09-30,小班启蒙
T015,托马斯小火车套装,模型玩具,费雪,3-7岁,A02-03,A02-03-S1,7,229.00,2026-04-18,男孩款
